ID#,POL IDEN,DENSITY,,,
351,6,"4,453.1",,,
352,6,"4,525.8",,,
353,6,372.3,,,
354,7,"3,959.2",,,
355,4,"13,089.8",,,
356,2,"5,091.7",,,
357,4,"4,197.4",,,
358,6,76.3,,,
359,7,"6,028.0",,,
360,5,"6,395.2",,,
361,4,"3,231.7",,,
362,2,"7,608.7",,,
364,6,"2,783.5",,,
365,2,"4,753.2",,,
366,4,"19,003.2",,,
367,6,"4,172.8",,,
368,6,"27,615.1",,,
369,5,694.4,,,
372,7,"8,677.7",,,
373,6,"7,533.6",,,
374,4,"9,170.5",,,
375,6,622.6,,,
376,5,"4,453.1",,,
377,6,"6,176.2",,,
378,5,298.0,,,
381,6,372.3,,,
382,1,"1,150.1",,,
383,6,836.7,,,
384,6,"8,943.8",,,
385,5,"6,378.5",,,
386,6,"2,021.5",,,
387,3,"6,921.7",,,
388,6,"7,137.3",,,
390,6,"7,137.3",,,
391,2,"4,172.8",,,
392,6,"21,326.1",,,
393,7,"20,639.2",,,
394,4,372.3,,,
395,5,"7,137.3",,,
396,4,"6,523.6",,,
397,7,"1,642.8",,,
398,5,"6,372.4",,,
399,1,"1,498.4",,,
401,4,"4,656.1",,,
402,7,"5,183.9",,,
404,2,"9,266.8",,,
406,6,"21,326.1",,,
407,2,"1,359.9",,,
408,7,328.9,,,
409,5,"1,642.8",,,
410,2,"1,359.9",,,
411,5,"5,351.4",,,
412,6,"8,247.3",,,
413,2,"3,474.3",,,
414,6,"7,688.3",,,
415,6,"22,617.6",,,
416,4,"1,216.0",,,
417,6,"6,301.1",,,
418,2,"1,216.0",,,
419,6,"15,461.4",,,
420,3,187.4,,,
421,3,"1,555.7",,,
422,2,23.2,,,
423,6,"13,824.4",,,
424,2,"1,424.8",,,
425,4,"8,039.9",,,
426,6,54.0,,,
427,6,783.4,,,
428,6,783.4,,,
429,4,"5,417.6",,,
430,6,"5,277.8",,,
431,6,"15,877.1",,,
432,6,"5,351.4",,,
433,6,"15,782.9",,,
434,7,"22,740.4",,,
435,5,"2,002.0",,,
436,4,"5,825.5",,,
437,6,"9,092.1",,,
439,1,"7,908.8",,,
440,5,"10,752.7",,,
442,3,"18,079.3",,,
443,6,"11,700.6",,,
444,6,"9,092.1",,,
445,6,"3,907.5",,,
446,6,"9,092.1",,,
447,6,"5,340.7",,,
449,3,"23,030.5",,,
450,6,"11,769.6",,,
451,6,"9,941.4",,,
452,4,"3,480.3",,,
453,4,"11,776.8",,,
454,6,"2,796.0",,,
455,2,"3,095.9",,,
456,6,"15,381.3",,,
457,4,783.4,,,
458,4,187.4,,,
459,6,"9,941.4",,,
461,6,"22,762.1",,,
462,2,288.3,,,
463,5,"20,690.9",,,
464,4,"9,941.4",,,
465,5,"8,534.4",,,
466,5,"16,220.4",,,
467,3,"8,914.3",,,
469,6,"22,199.9",,,
470,1,"12,538.1",,,
471,6,783.4,,,
472,7,"24,094.4",,,
473,6,"27,777.8",,,
474,5,"27,334.1",,,
475,4,"5,417.6",,,
476,4,"3,875.1",,,
477,6,"8,653.7",,,
478,2,"5,040.1",,,
479,5,"15,461.1",,,
480,6,"15,362.0",,,
481,5,"6,372.4",,,
484,6,"7,137.3",,,
485,4,"13,058.2",,,
486,4,"1,610.0",,,
488,6,426.7,,,
489,6,"6,518.9",,,
490,6,"5,417.6",,,
491,4,"4,399.2",,,
492,6,"7,439.6",,,
493,5,"20,870.8",,,
494,6,"21,368.0",,,
495,6,"6,584.3",,,
497,7,"11,776.8",,,
498,4,"6,128.7",,,
499,6,"27,483.6",,,
500,6,"20,399.5",,,
501,4,"11,776.8",,,
503,6,"9,382.8",,,
504,5,"4,838.7",,,
505,4,"16,651.8",,,
506,2,187.4,,,
507,2,"5,112.8",,,
508,6,"29,724.8",,,
